Time 	 Hydrogen 	 H 	 H+ 	 H- 	 H2 	 H2+ 
1.323e+14 	 1000 	 0.124777 	 5.21215e-05 	 1.74645e-12 	 0.875171 	 1.78526e-10 
1.3545e+14 	 1000 	 0.122751 	 5.17497e-05 	 1.73371e-12 	 0.877198 	 1.78794e-10 
1.386e+14 	 1000 	 0.120815 	 5.13915e-05 	 1.72142e-12 	 0.879133 	 1.79051e-10 
1.4175e+14 	 1000 	 0.118972 	 5.10476e-05 	 1.70963e-12 	 0.880977 	 1.79295e-10 
1.449e+14 	 1000 	 0.11721 	 5.07165e-05 	 1.69828e-12 	 0.882739 	 1.79528e-10 
1.4805e+14 	 1000 	 0.115527 	 5.03978e-05 	 1.68734e-12 	 0.884423 	 1.7975e-10 
1.512e+14 	 1000 	 0.11392 	 5.00914e-05 	 1.67683e-12 	 0.88603 	 1.79962e-10 
1.5435e+14 	 1000 	 0.112378 	 4.97954e-05 	 1.66668e-12 	 0.887572 	 1.80165e-10 
1.575e+14 	 1000 	 0.11093 	 4.95152e-05 	 1.65706e-12 	 0.88902 	 1.80355e-10 
1.6065e+14 	 1000 	 0.109524 	 4.92418e-05 	 1.64768e-12 	 0.890427 	 1.8054e-10 
1.638e+14 	 1000 	 0.108169 	 4.89767e-05 	 1.63858e-12 	 0.891782 	 1.80718e-10 
1.6695e+14 	 1000 	 0.106872 	 4.87213e-05 	 1.62982e-12 	 0.893079 	 1.80888e-10 
1.701e+14 	 1000 	 0.105631 	 4.84755e-05 	 1.62138e-12 	 0.89432 	 1.8105e-10 
1.7325e+14 	 1000 	 0.104442 	 4.82385e-05 	 1.61324e-12 	 0.89551 	 1.81206e-10 
1.764e+14 	 1000 	 0.103296 	 4.80092e-05 	 1.60537e-12 	 0.896656 	 1.81355e-10 
1.7955e+14 	 1000 	 0.102198 	 4.7788e-05 	 1.59777e-12 	 0.897755 	 1.81499e-10 
1.827e+14 	 1000 	 0.101141 	 4.75741e-05 	 1.59042e-12 	 0.898812 	 1.81637e-10 
1.8585e+14 	 1000 	 0.100126 	 4.73677e-05 	 1.58333e-12 	 0.899827 	 1.81769e-10 
1.89e+14 	 1000 	 0.099148 	 4.71678e-05 	 1.57647e-12 	 0.900805 	 1.81897e-10 
1.9215e+14 	 1000 	 0.0982095 	 4.69751e-05 	 1.56985e-12 	 0.901743 	 1.82019e-10 
1.953e+14 	 1000 	 0.0973086 	 4.67893e-05 	 1.56346e-12 	 0.902645 	 1.82136e-10 
1.9845e+14 	 1000 	 0.0964413 	 4.66096e-05 	 1.55729e-12 	 0.903512 	 1.82249e-10 
2.016e+14 	 1000 	 0.0956032 	 4.64352e-05 	 1.5513e-12 	 0.90435 	 1.82358e-10 
2.0475e+14 	 1000 	 0.0947974 	 4.62669e-05 	 1.54551e-12 	 0.905156 	 1.82462e-10 
2.079e+14 	 1000 	 0.0940187 	 4.61036e-05 	 1.5399e-12 	 0.905935 	 1.82564e-10 
2.1105e+14 	 1000 	 0.0932804 	 4.5948e-05 	 1.53455e-12 	 0.906674 	 1.82659e-10 
2.142e+14 	 1000 	 0.0925587 	 4.57956e-05 	 1.52931e-12 	 0.907395 	 1.82753e-10 
2.1735e+14 	 1000 	 0.0918721 	 4.56499e-05 	 1.5243e-12 	 0.908082 	 1.82842e-10 
2.205e+14 	 1000 	 0.0912 	 4.55068e-05 	 1.51938e-12 	 0.908755 	 1.82929e-10 
2.2365e+14 	 1000 	 0.0905506 	 4.53682e-05 	 1.51461e-12 	 0.909404 	 1.83013e-10 
2.268e+14 	 1000 	 0.0899248 	 4.5234e-05 	 1.51e-12 	 0.91003 	 1.83094e-10 
2.2995e+14 	 1000 	 0.0893228 	 4.51046e-05 	 1.50555e-12 	 0.910632 	 1.83172e-10 
2.331e+14 	 1000 	 0.0887396 	 4.49788e-05 	 1.50122e-12 	 0.911215 	 1.83247e-10 
